,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,Port Hardy,90,CA,1563387634,77,50.7,-127.42,290.15,4.1
142,Chifeng,0,CN,1563387634,84,42.27,118.96,290.264,2.52
143,Bonthe,100,SL,1563387635,76,7.53,-12.5,298.764,4.24
144,Ylivieska,66,FI,1563387635,77,64.07,24.53,288.15,2.29
145,Lupeni,4,RO,1563387636,86,45.35,23.21,287.264,1.45
146,Lipetsk,20,RU,1563387636,82,52.6,39.59,291.15,1.0
147,Orsk,40,RU,1563387637,28,51.23,58.47,301.15,2.0
148,Hasaki,75,JP,1563387637,100,35.73,140.83,294.26,1.5
149,Baker City,1,US,1563387436,38,44.77,-117.83,298.71,1.5
150,Jutai,13,BR,1563387638,77,-1.71,-47.89,302.564,2.02
151,Sehithwa,0,BW,1563387639,26,-20.47,22.7,289.664,2.43
152,Pailon,40,BO,1563387639,57,-17.66,-62.72,297.15,2.6
153,Shimoda,86,JP,1563387093,94,34.7,138.93,296.48,0.89
154,Cabo San Lucas,40,MX,1563387384,55,22.89,-109.91,305.15,5.1
155,Saurimo,0,AO,1563387645,26,-9.66,20.4,294.464,2.2
156,Katsuura,75,JP,1563387646,100,33.93,134.5,297.15,5.1
157,Kayerkan,0,RU,1563387647,69,69.35,87.76,288.164,2.6
158,Bilibino,100,RU,1563387648,96,68.06,166.44,276.764,1.17
159,Saint George,20,GR,1563387648,53,39.45,22.34,298.15,0.74
160,Airai,67,TL,1563387653,64,-8.93,125.41,293.164,2.53
161,Upernavik,22,GL,1563387655,92,72.79,-56.15,280.264,4.91
162,Faya,75,SA,1563387655,53,18.39,42.45,295.15,5.1
163,Cockburn Town,26,TC,1563387656,76,21.46,-71.14,301.064,6.38
164,Souillac,0,FR,1563387657,39,45.6,-0.6,299.82,7.7
165,Homer,1,US,1563387657,87,59.64,-151.54,291.48,1.5
166,Olkhovatka,47,RU,1563387658,87,50.28,39.3,290.464,2.96
167,Brikama,89,GM,1563387658,84,13.27,-16.65,299.164,7.61
168,Marapanim,14,BR,1563387659,73,-0.71,-47.7,301.364,6.74
169,Luderitz,0,NA,1563387659,72,-26.65,15.16,288.15,2.6
170,Khatanga,36,RU,1563387659,72,71.98,102.47,284.064,1.82
171,Szarvas,0,HU,1563387660,36,46.86,20.55,298.15,2.1
172,Keuruu,0,FI,1563387141,72,62.26,24.71,290.93,2.1
173,Cap Malheureux,40,MU,1563387661,68,-19.98,57.61,295.15,8.2
174,Tezu,0,IN,1563387661,71,27.93,96.16,297.664,1.58
175,Sri Aman,97,MY,1563387662,88,1.24,111.46,297.15,1.03
176,Cordoba,0,AR,1563387663,4,-27.78,-67.24,297.264,1.87
177,Port Elizabeth,20,US,1563387664,56,39.31,-74.98,310.37,3.6
178,Tiksi,100,RU,1563387665,88,71.64,128.87,274.264,6.71
179,Kruisfontein,66,ZA,1563387666,59,-34.0,24.73,284.964,1.39
180,Tim,40,RU,1563387666,100,51.62,37.12,290.15,2.0
181,Meulaboh,81,ID,1563387139,76,4.14,96.13,300.964,3.18
182,Carroll,90,AU,1563387689,93,-30.99,150.44,278.15,2.1
183,Coahuayana,36,MX,1563387689,67,18.62,-100.35,302.864,1.15
184,Isangel,12,VU,1563387690,63,-19.55,169.27,294.264,5.01
185,Kamaishi,57,JP,1563387693,99,39.28,141.86,288.364,0.66
186,Port-Cartier,75,CA,1563387694,77,50.03,-66.88,293.15,3.6
187,Klaksvik,100,FO,1563387695,100,62.23,-6.59,284.15,9.3
188,Dingle,100,PH,1563387696,87,11.0,122.67,297.264,4.24
189,Broome,0,GB,1563387696,53,52.47,1.45,298.15,5.7
190,Sept-Iles,75,CA,1563387701,77,50.2,-66.38,293.15,3.6
191,Lompoc,90,US,1563387701,82,34.64,-120.46,296.48,4.1
192,Sao Joao da Barra,20,BR,1563387632,50,-21.64,-41.05,297.15,7.7
193,Qandala,0,SO,1563387703,48,11.47,49.87,305.664,9.99
194,Porto Novo,40,BR,1563387703,55,-23.68,-45.44,292.15,3.1
195,Los Llanos de Aridane,75,ES,1563387704,73,28.66,-17.92,296.15,7.7
196,Leshukonskoye,59,RU,1563387704,63,64.9,45.76,287.164,1.86
197,Auki,74,NG,1563387705,57,12.18,6.51,302.764,4.34
198,Impfondo,76,CD,1563387706,72,1.62,18.06,299.464,0.81
199,Angoche,13,MZ,1563387707,83,-16.23,39.91,293.664,1.55
200,Kodiak,75,US,1563387708,74,39.95,-94.76,304.82,4.6
201,Ponta do Sol,6,BR,1563387709,34,-20.63,-46.0,295.764,2.03
202,Nan,53,TH,1563387709,95,18.78,100.78,295.864,0.49
203,Manggar,100,ID,1563387710,91,-2.88,108.27,296.964,1.58
204,Kalmunai,86,LK,1563387711,75,7.42,81.82,299.664,1.54
205,Longyearbyen,75,NO,1563387714,75,78.22,15.63,280.15,2.1
206,Narsaq,75,GL,1563387715,67,60.91,-46.05,287.15,3.1
207,Whitehorse,75,CA,1563387464,58,60.72,-135.06,290.93,2.6
208,Freeport,20,BS,1563387425,59,26.54,-78.7,305.15,4.6
209,Esperance,0,AU,1563387716,62,-33.86,121.89,284.15,6.7
210,Buala,29,SB,1563387717,83,-8.15,159.59,298.664,2.43
211,Faanui,0,PF,1563387718,71,-16.48,-151.75,297.464,8.25
212,Takhtamygda,17,RU,1563387718,85,54.1,123.57,285.464,1.64
213,Nantucket,90,US,1563387719,94,41.28,-70.1,302.15,4.1
214,Poum,20,MK,1563387720,59,41.28,20.71,291.15,1.5
215,Mackenzie,90,CA,1563387721,87,55.34,-123.09,286.15,3.1
216,Alyangula,89,AU,1563387722,93,-13.85,136.42,287.15,5.17
217,Talnakh,0,RU,1563387722,65,69.49,88.39,287.564,1.99
218,Zakamensk,85,RU,1563387723,92,50.38,103.29,286.464,1.26
219,Verkhovye,100,RU,1563387724,89,52.81,37.24,288.864,0.56
220,Provideniya,90,RU,1563387725,74,64.42,-173.23,287.564,0.99
221,Nyurba,14,RU,1563387725,73,63.29,118.35,284.164,3.31
222,Fenoarivo,20,MG,1563387726,87,-18.93,47.44,284.15,3.6
223,Port Keats,82,AU,1563387726,31,-14.25,129.55,292.664,5.56
224,San Jose,90,HN,1563387727,55,14.25,-87.96,303.15,6.2
225,Zaoyang,99,CN,1563387728,94,32.12,112.76,296.764,3.82
226,Avarua,0,CK,1563387728,73,-21.21,-159.78,295.15,6.7
227,Parrita,40,CR,1563387729,57,9.52,-84.33,300.15,6.7
228,Road Town,40,VG,1563387730,58,18.42,-64.62,304.15,4.6
229,Quatre Cocos,40,MU,1563387730,68,-20.21,57.76,295.15,8.2
230,Kahului,20,US,1563387731,65,20.89,-156.47,301.15,5.7
231,Prijepolje,0,RS,1563387732,63,43.39,19.65,291.15,1.5
232,Nurota,0,UZ,1563387733,14,40.56,65.69,306.15,4.1
233,Jieznas,75,LT,1563387757,87,54.6,24.18,288.71,2.1
234,Warmbad,20,DE,1563387758,63,50.67,13.08,294.82,3.1
235,Caravelas,100,BR,1563387758,73,-17.73,-39.27,295.364,8.97
236,Westport,1,US,1563387759,59,41.14,-73.36,307.04,3.6
237,Namatanai,43,PG,1563387760,84,-3.66,152.44,298.764,2.86
238,Tilichiki,97,RU,1563387761,94,60.47,166.1,285.364,1.2
239,Vanimo,2,PG,1563387762,79,-2.67,141.3,300.964,3.55
240,Camacha,20,PT,1563387763,60,33.08,-16.33,296.15,7.7
241,Teguise,20,ES,1563387764,61,29.06,-13.56,298.15,10.3
242,Tasiilaq,75,GL,1563387765,66,65.61,-37.64,284.15,5.1
243,Mareeba,37,AU,1563387766,77,-16.99,145.42,288.15,5.7
244,Bustehrad,0,CZ,1563387766,46,50.16,14.19,295.15,2.6
245,Kudahuvadhoo,100,MV,1563387767,78,2.67,72.89,300.564,6.61
246,Diamantino,14,BR,1563387767,27,-14.4,-56.44,306.764,2.24
247,Benjamin Constant,75,BR,1563387768,62,-4.38,-70.03,303.15,2.1
248,Pombas,31,BR,1563387768,28,-15.9,-54.74,306.264,0.87
249,Tura,15,RU,1563387772,73,64.27,100.22,287.064,6.46
250,Channel-Port aux Basques,95,CA,1563387773,79,47.57,-59.14,288.164,6.61
251,Makakilo City,20,US,1563387622,65,21.35,-158.09,301.48,7.2
252,Kallidaikurichchi,75,IN,1563387774,94,8.68,77.46,298.15,3.6
253,Kiama,14,AU,1563387777,58,-34.67,150.86,285.93,6.7
254,Ayagoz,14,KZ,1563387673,26,47.96,80.43,295.864,2.34
255,Muncar,65,ID,1563387780,97,-8.43,114.34,293.764,0.85
256,Kortkeros,0,RU,1563387781,51,61.81,51.56,290.15,2.0
257,Coos Bay,20,US,1563387782,60,43.37,-124.22,297.59,2.6
258,Gaziantep,0,TR,1563387782,39,37.06,37.38,304.15,2.1
259,Orje,0,NO,1563387782,72,59.48,11.66,293.71,6.2
260,Half Moon Bay,20,US,1563387792,64,37.46,-122.43,297.59,2.6
261,Aguimes,20,ES,1563387793,61,27.91,-15.45,298.15,14.4
262,Klichka,42,RU,1563387793,64,50.44,118.0,290.064,1.71
263,Mehamn,75,NO,1563387794,87,71.03,27.85,280.15,7.7
264,Sarany,0,RU,1563387795,90,58.55,58.76,284.764,1.61
265,Laguna,75,BZ,1563387795,74,16.17,-88.94,304.15,3.1
266,Governador Valadares,100,BR,1563387796,67,-18.85,-41.95,293.264,0.77
267,Avera,1,US,1563387698,35,33.19,-82.53,310.15,3.1
268,Nyuksenitsa,79,RU,1563387797,78,60.41,44.24,288.664,2.54
269,Oranjemund,0,ZA,1563387797,81,-28.55,16.43,285.964,1.06
270,Nabire,95,ID,1563387798,99,-3.36,135.5,293.764,1.37
271,Langenburg,100,CA,1563387798,84,50.84,-101.7,293.064,3.32
272,Kavadarci,0,MK,1563387799,33,41.43,22.01,298.15,4.6
273,Tartagal,22,AR,1563387713,57,-22.52,-63.8,297.15,1.5
274,Hokitika,94,NZ,1563387800,77,-42.72,170.96,281.064,1.98
275,Cherskiy,16,RU,1563387800,64,68.75,161.3,277.964,2.77
276,Winfield,1,US,1563387801,52,37.24,-97.0,310.15,6.7
277,Geraldton,75,CA,1563387801,56,49.72,-86.95,296.15,4.6
278,Hirara,67,JP,1563387802,84,24.8,125.28,301.664,9.94
279,Baherden,0,TM,1563387802,18,38.44,57.43,304.464,0.28
280,Atasu,0,KZ,1563387803,45,48.68,71.64,296.064,7.83
281,Parana,75,BR,1563387803,78,-7.52,-72.89,301.15,1.0
282,Praxedis Guerrero,40,MX,1563387804,26,31.37,-106.02,307.15,3.1
283,Ribeira Grande,40,PT,1563387805,83,38.52,-28.7,296.15,3.6
284,Puerto Colombia,20,CO,1563387805,63,10.99,-74.96,306.15,6.2
285,Atascadero,1,US,1563387806,40,35.49,-120.67,299.82,4.21
286,Bambanglipuro,80,ID,1563387806,82,-7.95,110.28,297.164,6.47
287,Nicoya,40,CR,1563387548,66,10.15,-85.45,304.15,4.1
288,Kuala Lipis,98,MY,1563387807,95,4.19,102.05,295.664,0.49
289,Pizhanka,92,RU,1563387808,86,57.46,48.54,289.764,3.95
290,Syamzha,82,RU,1563387808,93,60.02,41.06,288.064,2.14
291,Coquimbo,75,CL,1563387608,81,-29.95,-71.34,295.93,1.5
292,Siocon,100,PH,1563387809,79,11.03,124.04,298.764,2.81
293,Sagauli,84,IN,1563387810,69,26.78,84.73,303.464,2.41
294,Taoudenni,47,ML,1563387677,6,22.68,-3.98,319.464,3.69
295,Townsville,0,AU,1563387512,87,-19.26,146.82,287.04,1.0
296,Vytegra,46,RU,1563387811,85,61.01,36.45,288.664,4.34
297,Wewak,2,PG,1563387812,88,-3.55,143.63,297.864,1.53
298,Akureyri,75,IS,1563387812,82,65.68,-18.09,288.15,7.2
299,Cayenne,0,GF,1563387813,70,4.94,-52.33,303.15,1.0
300,Walvis Bay,0,NA,1563387814,56,-22.95,14.51,296.15,3.6
301,Arman,99,RU,1563387814,97,59.7,150.17,283.764,0.84
302,Litovko,97,RU,1563387815,99,49.24,135.18,290.764,0.96
303,Thinadhoo,100,MV,1563387816,69,0.53,72.93,302.164,6.09
304,Nouadhibou,2,MR,1563387816,73,20.93,-17.03,297.15,5.7
305,Gualeguay,0,AR,1563387817,60,-33.15,-59.31,289.164,5.24
306,Rajapur,79,BD,1563387817,79,22.57,90.14,301.964,2.71
307,Worthington,1,US,1563387549,88,43.62,-95.6,297.15,7.7
308,Kapit,99,MY,1563387818,82,2.02,112.94,295.464,1.07
309,Norman Wells,20,CA,1563387819,72,65.28,-126.83,292.15,2.6
310,Karratha,0,AU,1563387575,16,-20.74,116.85,289.464,3.21
311,Ignatovka,86,RU,1563387820,95,53.95,47.65,290.364,5.61
312,Xocali,32,AZ,1563387821,88,39.91,46.79,288.364,1.39
313,Taiyuan,0,CN,1563387821,64,37.86,112.56,295.15,1.0
314,Saint Augustine,75,TT,1563387822,88,10.65,-61.4,298.15,3.1
315,Guanica,40,PR,1563387823,66,17.97,-66.91,304.26,8.7
316,Springdale,75,US,1563387607,62,36.19,-94.13,307.04,5.1
317,Jasper,75,US,1563387536,79,33.83,-87.28,305.93,3.98
318,Beringovskiy,86,RU,1563387824,85,63.05,179.32,285.564,1.91
319,Ibra,58,OM,1563387825,49,22.69,58.55,301.264,2.66
320,Henderson,1,US,1563387772,10,36.04,-114.98,310.37,5.7
321,Banda Aceh,11,ID,1563387826,75,5.56,95.32,301.964,7.81
322,Umm Lajj,0,SA,1563387826,65,25.02,37.27,304.964,1.64
323,Shentala,99,RU,1563387827,91,54.44,51.46,291.364,5.27
324,Buzmeyin,0,TM,1563387828,28,38.05,58.21,309.15,3.1
325,Meadow Lake,40,CA,1563387628,68,54.13,-108.44,291.15,3.6
326,Zhanaozen,0,KZ,1563387829,36,43.35,52.85,305.364,3.76
327,Yar-Sale,97,RU,1563387769,73,66.83,70.83,294.264,6.37
328,Tsumeb,1,NA,1563387830,20,-19.25,17.72,289.164,4.89
329,Leh,0,IN,1563387830,31,34.16,77.58,279.864,0.7
330,Ostrovnoy,30,RU,1563387664,77,68.05,39.51,283.064,2.13
331,Sangar,31,RU,1563387831,79,63.92,127.47,283.664,4.57
332,Parfenyevo,100,RU,1563387832,93,58.48,43.41,288.664,2.65
333,Marawi,82,PH,1563387832,88,8.0,124.29,294.82,4.47
334,Iqaluit,75,CA,1563387833,81,63.75,-68.52,281.15,3.1
335,Vao,0,EE,1563387663,72,59.1,26.19,289.364,2.99
336,Bonoua,20,CI,1563387834,88,5.27,-3.6,299.15,2.6
337,Kedrovyy,40,RU,1563387834,93,56.17,91.82,288.15,0.57
338,Namibe,0,AO,1563387834,75,-15.19,12.15,294.264,1.79
339,Ilave,90,PE,1563387835,45,-16.09,-69.64,283.264,2.63
340,Winsum,2,NL,1563387737,56,53.33,6.52,295.93,2.6
341,Tual,100,ID,1563387836,86,-5.67,132.75,298.264,8.58
342,Biloela,0,AU,1563387836,78,-24.4,150.51,279.964,3.14
343,Khislavichi,100,RU,1563387837,85,54.19,32.16,287.864,1.6
344,Kherson,0,UA,1563387837,50,46.64,32.61,297.15,2.0
345,Hamilton,90,CA,1563387656,100,43.26,-79.87,301.48,4.1
346,Santa Rosalia,40,IT,1563387838,78,38.07,13.27,301.48,2.6
347,Mandalgovi,100,MN,1563387839,64,45.76,106.27,293.264,3.09
348,Shubarkuduk,45,KZ,1563387840,32,49.15,56.49,300.264,6.32
349,Henties Bay,0,NA,1563387841,86,-22.12,14.28,287.04,1.34
350,Te Anau,96,NZ,1563387841,88,-45.41,167.72,277.164,2.65
351,Sumter,20,US,1563387842,44,33.92,-80.34,310.37,3.1
352,Mana,64,NG,1563387842,43,13.03,5.27,306.464,5.28
353,Saint-Augustin,90,CA,1563387843,74,45.63,-73.98,301.48,2.6
354,Bluff,0,AU,1563387843,55,-23.58,149.07,282.764,2.39
355,Acari,8,BR,1563387845,22,-6.44,-36.64,307.964,4.07
356,Pekalongan,76,ID,1563387845,82,-6.89,109.67,294.564,3.2
357,Bang Saphan,91,TH,1563387846,86,11.21,99.51,299.764,4.45
358,Tautira,20,PF,1563387847,60,-17.73,-149.15,297.15,1.5
359,Thoen,95,TH,1563387848,97,17.61,99.22,295.664,1.07
360,Sambava,16,MG,1563387848,81,-14.27,50.17,289.964,2.03
361,Algodones,75,MX,1563387849,49,20.39,-105.48,305.15,3.1
362,Puerto Baquerizo Moreno,40,EC,1563387849,88,-0.9,-89.6,296.15,6.7
363,Ayan,0,IR,1563387850,32,38.23,44.7,289.864,2.93
364,Lazurne,57,UA,1563387850,45,46.77,34.99,295.864,1.98
365,Bilma,44,NE,1563387851,12,18.69,12.92,312.664,3.04
366,Elizabeth City,1,US,1563387852,63,36.3,-76.22,309.26,5.7
367,Tuktoyaktuk,75,CA,1563387853,72,69.44,-133.03,290.15,3.6
368,Collie,55,AU,1563387853,78,-33.36,116.15,287.04,0.76
369,Shakiso,94,ET,1563387854,99,5.77,38.9,284.364,0.45
370,Santiago del Estero,0,AR,1563387855,34,-27.8,-64.26,297.164,8.2
371,Porbandar,40,IN,1563387855,79,21.64,69.61,303.15,4.6
372,Tecoanapa,75,MX,1563387856,66,16.99,-99.26,303.15,2.6
373,Mildura,75,AU,1563387856,93,-34.18,142.16,282.15,2.1
